C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00154447,A,WBGene00037808,A,WBGene00055774,A
WBGene00154451,A,WBGene00036560,A,WBGene00054790,A
WBGene00154462,A,WBGene00034641,A,WBGene00070790,A
WBGene00154464,A,WBGene00086897,A,WBGene00067525,A
WBGene00154470,A,WBGene00041915,A,WBGene00057903,A
WBGene00154476,X,WBGene00041222,X,WBGene00058806,X
WBGene00154480,A,WBGene00087412,A,WBGene00055832,A
WBGene00154483,A,WBGene00037735,A,WBGene00055854,A
WBGene00154487,A,WBGene00037690,A,WBGene00055890,A
WBGene00154496,A,WBGene00029218,A,WBGene00064701,A
WBGene00154502,A,WBGene00035938,A,WBGene00071303,A
WBGene00154504,A,WBGene00030476,A,WBGene00060877,A
WBGene00154509,X,WBGene00025267,X,WBGene00058232,X
WBGene00154512,A,WBGene00037525,A,WBGene00061741,A
WBGene00154517,A,WBGene00025910,A,WBGene00053519,A
WBGene00154538,A,WBGene00027972,A,WBGene00082867,A
WBGene00154541,A,WBGene00035962,A,WBGene00055943,A
WBGene00154544,A,WBGene00030970,A,WBGene00058923,A
WBGene00154555,A,WBGene00042430,A,WBGene00061914,A
WBGene00154567,A,WBGene00031461,A,WBGene00055026,A
WBGene00154569,A,WBGene00038186,A,WBGene00056007,A
WBGene00154579,A,WBGene00035530,A,WBGene00063493,A
WBGene00154585,A,WBGene00024329,A,WBGene00067230,A
WBGene00154587,A,WBGene00040715,A,WBGene00060556,A
WBGene00154591,A,WBGene00039212,A,WBGene00071142,A
WBGene00154592,A,WBGene00035564,A,WBGene00064830,A
WBGene00154599,X,WBGene00030018,X,WBGene00060290,X
WBGene00154602,X,WBGene00029967,X,WBGene00060224,X
WBGene00154604,A,WBGene00024881,A,WBGene00057166,A
WBGene00154605,X,WBGene00034956,X,WBGene00051827,X
WBGene00154611,X,WBGene00029364,X,WBGene00066173,X
WBGene00154618,A,WBGene00041937,A,WBGene00057884,A
WBGene00154621,X,WBGene00029952,X,WBGene00060204,X
WBGene00154623,A,WBGene00031131,A,WBGene00059107,A
WBGene00154624,A,WBGene00033090,A,WBGene00062368,A
WBGene00154626,X,WBGene00034837,X,WBGene00051922,X
WBGene00154629,A,WBGene00033944,A,WBGene00054313,A
WBGene00154634,A,WBGene00037760,A,WBGene00055816,A
WBGene00154638,A,WBGene00031451,A,WBGene00054998,A
WBGene00154644,A,WBGene00033016,A,WBGene00062296,A
WBGene00154648,A,WBGene00025282,A,WBGene00086105,A
WBGene00154651,A,WBGene00028832,A,WBGene00053126,A
WBGene00154652,A,WBGene00039680,A,WBGene00057622,A
WBGene00154655,A,WBGene00027205,A,WBGene00064389,A
WBGene00154660,X,WBGene00029478,X,WBGene00065272,X
WBGene00154664,A,WBGene00031377,A,WBGene00054868,A
WBGene00154667,A,WBGene00025619,A,WBGene00054024,A
WBGene00154673,A,WBGene00037563,A,WBGene00061783,A
WBGene00154677,X,WBGene00041242,X,WBGene00065489,X
WBGene00154710,A,WBGene00034279,A,WBGene00064575,A
WBGene00154711,A,WBGene00039321,A,WBGene00066383,A
WBGene00154734,A,WBGene00033069,A,WBGene00062345,A
WBGene00154736,A,WBGene00028052,A,WBGene00069600,A
WBGene00154748,A,WBGene00038514,A,WBGene00082310,A
WBGene00154764,X,WBGene00036997,X,WBGene00058290,X
WBGene00154771,A,WBGene00033214,A,WBGene00062443,A
WBGene00154801,A,WBGene00033321,A,WBGene00060007,A
WBGene00154807,A,WBGene00041725,A,WBGene00052408,A
WBGene00154818,A,WBGene00037227,A,WBGene00059324,A
WBGene00154821,A,WBGene00037455,A,WBGene00061681,A
WBGene00154827,X,WBGene00023584,X,WBGene00051149,X
WBGene00154830,A,WBGene00027227,A,WBGene00064415,A
WBGene00154835,X,WBGene00036128,X,WBGene00059778,X
WBGene00154846,A,WBGene00039202,A,WBGene00071103,A
WBGene00154848,A,WBGene00037660,A,WBGene00061658,A
WBGene00154850,A,WBGene00039320,A,WBGene00066387,A
WBGene00154853,A,WBGene00031510,A,WBGene00055050,A
WBGene00154862,A,WBGene00033269,A,WBGene00064129,A
WBGene00154870,A,WBGene00031579,A,WBGene00055112,A
WBGene00154889,X,WBGene00034737,X,WBGene00052041,X
WBGene00154890,A,WBGene00039585,A,WBGene00057522,A
WBGene00154895,A,WBGene00030802,A,WBGene00077373,A
WBGene00154898,X,WBGene00034701,X,WBGene00052080,X
WBGene00154904,A,WBGene00027986,A,WBGene00063574,A
WBGene00154907,A,WBGene00041895,A,WBGene00067246,A
WBGene00154909,A,WBGene00031495,A,WBGene00055036,A
WBGene00154910,A,WBGene00033893,A,WBGene00084811,A
WBGene00154912,A,WBGene00030808,A,WBGene00077364,A
WBGene00154920,X,WBGene00034945,X,WBGene00051839,X
WBGene00154922,A,WBGene00039235,A,WBGene00061599,A
WBGene00154923,X,WBGene00034807,X,WBGene00051950,X
WBGene00154924,X,WBGene00036053,X,WBGene00070101,X
WBGene00154931,X,WBGene00025228,X,WBGene00058160,X
WBGene00154932,A,WBGene00038179,A,WBGene00056003,A
WBGene00154934,A,WBGene00030700,A,WBGene00055532,A
WBGene00154937,A,WBGene00026455,A,WBGene00061586,A
WBGene00154941,X,WBGene00029654,X,WBGene00058632,X
WBGene00154942,A,WBGene00023793,A,WBGene00067783,A
WBGene00154943,X,WBGene00036206,X,WBGene00077303,X
WBGene00154944,X,WBGene00035102,X,WBGene00051680,X
WBGene00154947,A,WBGene00034232,A,WBGene00065121,A
WBGene00154949,A,WBGene00087078,A,WBGene00057534,A
WBGene00154950,X,WBGene00029559,X,WBGene00058522,X
WBGene00154956,A,WBGene00034559,A,WBGene00070864,A
WBGene00154958,A,WBGene00027982,A,WBGene00063573,A
WBGene00154966,A,WBGene00027267,A,WBGene00059140,A
WBGene00154968,X,WBGene00029487,X,WBGene00065263,X
WBGene00154977,A,WBGene00035895,A,WBGene00055302,A
WBGene00154980,A,WBGene00035569,A,WBGene00064836,A
WBGene00154993,X,WBGene00025145,X,WBGene00084279,X
WBGene00155006,X,WBGene00029644,X,WBGene00058621,X
WBGene00155008,A,WBGene00036427,A,WBGene00069391,A
WBGene00155035,A,WBGene00027211,A,WBGene00064395,A
WBGene00155037,A,WBGene00032503,A,WBGene00052979,A
WBGene00155055,A,WBGene00028477,A,WBGene00062648,A
WBGene00155056,X,WBGene00035050,X,WBGene00051732,X
WBGene00155057,X,WBGene00034716,X,WBGene00077910,X
WBGene00155064,A,WBGene00031923,A,WBGene00071898,A
WBGene00155071,A,WBGene00030277,A,WBGene00056327,A
WBGene00155072,X,WBGene00035091,X,WBGene00051694,X
WBGene00155074,X,WBGene00029446,X,WBGene00065295,X
WBGene00155081,X,WBGene00029658,X,WBGene00058639,X
WBGene00155083,A,WBGene00037582,A,WBGene00061803,A
WBGene00155087,A,WBGene00034017,A,WBGene00063076,A
WBGene00155095,A,WBGene00031400,A,WBGene00054950,A
WBGene00155102,short,WBGene00037618,A,WBGene00062970,A
WBGene00155110,X,WBGene00034747,X,WBGene00052028,X
WBGene00155111,A,WBGene00042696,A,WBGene00065979,A
WBGene00155114,A,WBGene00034653,A,WBGene00070789,A
WBGene00155128,A,WBGene00024029,A,WBGene00053846,A
WBGene00155129,A,WBGene00042859,no.read,WBGene00063405,A
WBGene00155133,A,WBGene00036437,A,WBGene00054640,A
WBGene00155137,A,WBGene00087189,A,WBGene00064650,A
WBGene00155138,A,WBGene00031134,A,WBGene00045446,A
WBGene00155143,A,WBGene00031160,A,WBGene00065061,A
WBGene00155150,A,WBGene00027236,A,WBGene00084356,A
WBGene00155154,A,WBGene00023975,A,WBGene00066416,A
WBGene00155156,A,WBGene00042441,A,WBGene00060689,A
WBGene00155165,A,WBGene00028038,A,WBGene00063533,A
WBGene00155170,A,WBGene00041598,A,WBGene00064753,A
WBGene00155184,X,WBGene00025244,X,WBGene00071056,X
WBGene00155194,A,WBGene00038254,A,WBGene00052172,A
WBGene00155197,A,WBGene00038304,A,WBGene00052226,A
WBGene00155198,X,WBGene00023552,X,WBGene00051183,X
WBGene00155200,A,WBGene00031002,A,WBGene00058955,A
WBGene00155201,A,WBGene00031280,A,WBGene00054823,A
WBGene00155202,X,WBGene00037029,X,WBGene00058320,X
WBGene00155223,A,WBGene00023964,A,WBGene00070698,A
WBGene00155227,X,WBGene00025037,X,WBGene00063217,X
WBGene00155229,A,WBGene00025961,A,WBGene00053458,A
WBGene00155233,A,WBGene00035654,A,WBGene00071306,A
WBGene00155240,A,WBGene00035522,A,WBGene00064911,A
WBGene00155244,A,WBGene00038841,A,WBGene00055479,A
WBGene00155247,X,WBGene00041273,X,WBGene00065526,X
WBGene00155257,A,WBGene00037744,A,WBGene00055835,A
WBGene00155273,X,WBGene00037007,X,WBGene00058301,X
WBGene00155283,A,WBGene00030196,A,WBGene00071277,A
WBGene00155285,short,WBGene00035280,A,WBGene00060372,A
WBGene00155290,A,WBGene00029329,A,WBGene00064656,A
WBGene00155292,A,WBGene00042362,A,WBGene00064876,A
WBGene00155296,X,WBGene00036247,X,WBGene00077317,X
WBGene00155305,X,WBGene00029708,X,WBGene00083723,X
WBGene00155312,A,WBGene00025702,A,WBGene00053732,A
WBGene00155316,X,WBGene00032103,X,WBGene00051483,X
WBGene00155320,X,WBGene00034709,X,WBGene00052071,X
WBGene00155322,X,WBGene00025118,X,WBGene00063159,X
WBGene00155324,A,WBGene00030722,A,WBGene00055554,A
WBGene00155333,A,WBGene00040127,A,WBGene00068838,A
WBGene00155335,A,WBGene00025905,A,WBGene00053524,A
WBGene00155351,A,WBGene00041649,A,WBGene00052362,A
WBGene00155354,A,WBGene00031535,A,WBGene00055072,A
WBGene00155355,A,WBGene00032257,A,WBGene00062215,A
WBGene00155369,ambiguous,WBGene00033165,A,WBGene00062386,A
WBGene00155370,X,WBGene00032121,X,WBGene00051460,X
WBGene00155371,X,WBGene00034792,X,WBGene00051980,X
WBGene00155375,X,WBGene00023586,X,WBGene00051147,X
WBGene00155377,X,WBGene00034719,X,WBGene00052059,X
WBGene00155402,A,WBGene00041454,A,WBGene00061868,A
WBGene00155406,A,WBGene00031094,A,WBGene00059059,A
WBGene00155418,A,WBGene00032792,A,WBGene00067915,A
WBGene00155428,X,WBGene00036208,X,WBGene00081865,X
WBGene00155430,X,WBGene00034981,X,WBGene00051801,X
WBGene00155434,A,WBGene00031371,A,WBGene00054874,A
WBGene00155436,A,WBGene00025935,A,WBGene00053493,A
WBGene00155437,A,WBGene00040883,A,WBGene00060429,A
WBGene00155441,A,WBGene00033657,A,WBGene00056188,A
WBGene00155445,A,WBGene00035552,A,WBGene00064859,A
WBGene00155451,A,WBGene00026404,A,WBGene00061556,A
WBGene00155453,A,WBGene00024011,A,WBGene00053862,A
WBGene00155456,A,WBGene00037803,A,WBGene00055776,A
WBGene00155476,A,WBGene00036533,A,WBGene00054750,A
WBGene00155490,X,WBGene00023628,X,WBGene00051097,X
WBGene00155491,X,WBGene00034755,X,WBGene00052017,X
WBGene00155492,A,WBGene00027988,A,WBGene00063560,A
WBGene00155497,A,WBGene00037391,A,WBGene00062131,A
WBGene00155505,A,WBGene00023756,A,WBGene00061367,A
WBGene00155511,A,WBGene00028359,A,WBGene00062533,A
WBGene00155512,A,WBGene00032389,A,WBGene00054148,A
WBGene00155519,A,WBGene00037798,A,WBGene00055784,A
WBGene00155527,A,WBGene00040036,A,WBGene00069201,A
WBGene00155528,A,WBGene00032023,A,WBGene00068389,ambiguous
WBGene00155545,A,WBGene00038279,A,WBGene00052200,A
WBGene00155553,A,WBGene00039888,A,WBGene00054413,A
WBGene00155554,A,WBGene00034640,A,WBGene00083266,A
WBGene00155555,A,WBGene00038863,A,WBGene00055465,A
WBGene00155564,X,WBGene00029969,X,WBGene00060226,X
WBGene00155567,A,WBGene00029103,A,WBGene00055182,A
WBGene00155574,A,WBGene00027030,A,WBGene00054132,A
WBGene00155577,X,WBGene00029463,X,WBGene00065283,X
WBGene00155582,X,WBGene00027150,X,WBGene00058448,X
WBGene00155594,X,WBGene00029417,X,WBGene00065319,X
WBGene00155611,A,WBGene00026469,A,WBGene00065572,A
WBGene00155614,A,WBGene00030503,A,WBGene00053147,A
WBGene00155616,X,WBGene00036613,X,WBGene00051283,X
WBGene00155620,A,WBGene00024040,A,WBGene00053880,A
WBGene00155622,A,WBGene00035882,A,WBGene00055325,A
WBGene00155632,A,WBGene00031136,A,WBGene00059115,A
WBGene00155638,short,WBGene00025287,A,WBGene00059854,A
WBGene00155648,A,WBGene00027192,A,WBGene00064377,A
WBGene00155651,X,WBGene00029406,X,WBGene00066967,X
WBGene00155655,A,WBGene00032398,A,WBGene00054138,A
WBGene00155659,A,WBGene00042380,A,WBGene00067243,A
WBGene00155664,X,WBGene00025071,X,WBGene00063181,X
WBGene00155684,X,WBGene00088815,X,WBGene00063252,X
WBGene00155686,A,WBGene00026180,A,WBGene00057709,A
WBGene00155689,A,WBGene00034078,A,WBGene00063020,A
WBGene00155690,X,WBGene00025219,X,WBGene00058169,X
WBGene00155697,A,WBGene00033010,A,WBGene00056493,A
WBGene00155703,X,WBGene00027623,X,WBGene00051489,X
WBGene00155704,A,WBGene00039535,A,WBGene00057934,A
WBGene00155712,A,WBGene00041077,A,WBGene00070720,A
WBGene00155718,X,WBGene00036957,X,WBGene00058247,X
WBGene00155725,A,WBGene00030833,A,WBGene00054818,A
WBGene00155726,A,WBGene00040964,A,WBGene00070160,A
WBGene00155729,A,WBGene00033535,A,WBGene00070534,A
WBGene00155733,A,WBGene00031222,A,WBGene00065020,A
WBGene00155736,A,WBGene00026410,A,WBGene00061550,A
WBGene00155738,A,WBGene00026901,A,WBGene00057089,A
WBGene00155760,X,WBGene00025126,X,WBGene00063140,X
WBGene00155781,X,WBGene00029675,X,WBGene00058657,X
WBGene00155784,A,WBGene00030372,A,WBGene00052661,A
WBGene00155786,X,WBGene00036039,X,WBGene00070116,X
WBGene00155789,X,WBGene00029415,X,WBGene00065322,X
WBGene00155790,A,WBGene00029824,A,WBGene00067705,A
WBGene00155791,A,WBGene00033994,A,WBGene00063102,A
WBGene00155794,A,WBGene00028699,A,WBGene00053139,A
WBGene00155799,A,WBGene00038517,A,WBGene00064921,A
WBGene00155800,A,WBGene00032318,A,WBGene00054171,A
WBGene00155802,X,WBGene00036256,X,WBGene00077243,X
WBGene00155805,A,WBGene00029988,X,WBGene00060250,X
WBGene00155808,A,WBGene00031070,A,WBGene00059035,A
WBGene00155817,A,WBGene00033967,A,WBGene00054345,A
WBGene00155820,A,WBGene00032446,A,WBGene00053043,A
WBGene00155821,X,WBGene00035185,X,WBGene00051592,X
WBGene00155829,A,WBGene00037605,A,WBGene00062958,A
WBGene00155830,X,WBGene00035244,X,WBGene00051552,X
WBGene00155831,X,WBGene00036895,X,WBGene00082156,X
WBGene00155833,A,WBGene00041076,A,WBGene00070718,A
WBGene00155844,A,WBGene00026118,A,WBGene00053269,A
WBGene00155853,A,WBGene00038148,A,WBGene00056085,A
WBGene00155859,A,WBGene00042728,A,WBGene00055712,A
WBGene00155866,A,WBGene00031212,A,WBGene00065028,A
WBGene00155874,A,WBGene00027185,A,WBGene00064356,A
WBGene00155898,A,WBGene00026133,A,WBGene00053257,A
WBGene00155902,A,WBGene00039267,A,WBGene00062266,A
WBGene00155919,X,WBGene00032149,X,WBGene00051432,X
WBGene00155937,A,WBGene00030541,A,WBGene00057999,A
WBGene00155940,A,WBGene00038839,A,WBGene00055476,A
WBGene00155942,A,WBGene00025930,A,WBGene00053497,A
WBGene00155944,A,WBGene00029094,A,WBGene00055193,A
WBGene00155951,X,WBGene00026877,X,WBGene00060164,X
WBGene00155960,X,WBGene00034994,X,WBGene00051790,X
WBGene00155961,X,WBGene00037037,X,WBGene00058327,X
WBGene00155965,A,WBGene00041719,A,WBGene00052402,A
WBGene00155966,A,WBGene00087548,A,WBGene00061592,A
WBGene00155972,A,WBGene00024067,A,WBGene00053811,A
WBGene00155974,A,WBGene00040762,A,WBGene00060538,A
WBGene00155975,A,WBGene00031928,A,WBGene00069240,A
WBGene00155977,A,WBGene00035541,A,WBGene00063495,A
WBGene00155980,A,WBGene00032387,A,WBGene00054147,A
WBGene00155994,A,WBGene00028031,A,WBGene00063593,A
WBGene00155995,X,WBGene00023671,X,WBGene00051063,X
WBGene00156000,X,WBGene00036598,X,WBGene00051297,X
WBGene00156004,A,WBGene00031580,A,WBGene00055113,A
WBGene00156007,X,WBGene00036145,X,WBGene00059766,X
WBGene00156014,A,WBGene00031587,A,WBGene00055119,A
WBGene00156024,A,WBGene00036442,A,WBGene00054647,A
WBGene00156045,X,WBGene00035721,X,WBGene00070607,X
WBGene00156046,A,WBGene00038910,A,WBGene00060834,A
WBGene00156052,A,WBGene00030968,A,WBGene00058920,A
WBGene00156055,A,WBGene00088302,A,WBGene00053055,A
WBGene00156062,X,WBGene00036322,X,WBGene00063239,X
WBGene00156067,X,WBGene00032154,X,WBGene00051423,X
WBGene00156068,X,WBGene00035196,X,WBGene00066533,A
WBGene00156069,X,WBGene00032123,X,WBGene00051458,X
WBGene00156075,A,WBGene00035446,A,WBGene00062006,A
WBGene00156083,A,WBGene00040040,A,WBGene00073652,A
WBGene00156085,A,WBGene00026482,A,WBGene00070687,A
WBGene00156098,A,WBGene00036820,A,WBGene00067029,A
WBGene00156103,A,WBGene00041048,A,WBGene00068894,A
WBGene00156111,A,WBGene00033966,A,WBGene00054344,A
WBGene00156132,A,WBGene00035554,A,WBGene00064856,A
WBGene00156147,A,WBGene00030582,A,WBGene00057970,A
WBGene00156163,A,WBGene00033855,A,WBGene00054397,A
WBGene00156166,A,WBGene00034326,A,WBGene00072260,A
WBGene00156167,A,WBGene00029844,A,WBGene00061248,A
WBGene00156179,X,WBGene00035215,X,WBGene00051576,X
WBGene00156190,A,WBGene00036435,A,WBGene00054638,A
WBGene00156192,A,WBGene00041384,A,WBGene00064472,A
WBGene00156206,X,WBGene00029589,X,WBGene00058562,X
WBGene00156211,A,WBGene00025530,A,WBGene00057299,A
WBGene00156216,X,WBGene00025167,X,WBGene00058225,X
WBGene00156221,A,WBGene00037779,A,WBGene00055800,A
WBGene00156223,A,WBGene00025818,A,WBGene00053608,A
WBGene00156226,X,WBGene00032180,X,WBGene00051398,X
WBGene00156227,A,WBGene00032384,A,WBGene00054145,A
WBGene00156241,A,WBGene00040068,A,WBGene00069256,A
WBGene00156242,X,WBGene00036234,X,WBGene00063276,X
WBGene00156250,X,WBGene00029666,X,WBGene00058646,X
WBGene00156255,A,WBGene00026432,A,WBGene00061577,A
WBGene00156268,A,WBGene00032326,A,WBGene00054179,A
WBGene00156272,A,WBGene00028013,A,WBGene00069580,A
WBGene00156279,A,WBGene00037598,A,WBGene00061815,A
WBGene00156280,X,WBGene00029427,X,WBGene00065310,X
WBGene00156281,X,WBGene00034960,X,WBGene00051821,X
WBGene00156284,A,WBGene00042250,A,WBGene00055652,A
WBGene00156285,A,WBGene00031126,A,WBGene00059101,A
WBGene00156288,A,WBGene00037106,X,WBGene00052772,A
WBGene00156291,A,WBGene00031742,A,WBGene00059605,A
WBGene00156298,A,WBGene00038527,A,WBGene00071268,A
WBGene00156307,X,WBGene00034979,X,WBGene00051803,X
WBGene00156308,A,WBGene00034054,A,WBGene00063046,A
WBGene00156318,A,WBGene00041509,A,WBGene00066203,A
WBGene00156321,A,WBGene00037503,A,WBGene00061724,A
WBGene00156333,X,WBGene00029651,X,WBGene00058629,X
WBGene00156339,X,WBGene00035774,X,WBGene00051033,X
WBGene00156340,A,WBGene00028408,A,WBGene00062571,A
WBGene00156343,X,WBGene00023614,X,WBGene00051119,X
WBGene00156346,X,WBGene00025187,X,WBGene00058201,X
WBGene00156348,A,WBGene00032576,A,WBGene00052898,A
WBGene00156351,A,WBGene00028543,A,WBGene00066293,A
WBGene00156353,X,WBGene00035058,X,WBGene00051723,X
WBGene00156354,A,WBGene00031911,A,WBGene00064610,A
WBGene00156365,A,WBGene00034655,A,WBGene00070787,A
WBGene00156374,X,WBGene00027744,X,WBGene00058768,X
WBGene00156375,A,WBGene00031367,A,WBGene00054879,A
WBGene00156378,X,WBGene00027155,X,WBGene00058442,X
WBGene00156379,A,WBGene00036499,A,WBGene00054704,A
WBGene00156386,A,WBGene00040781,A,WBGene00060486,A
WBGene00156391,A,WBGene00037745,A,WBGene00055834,A
WBGene00156396,X,WBGene00029425,X,WBGene00065312,X
WBGene00156409,X,WBGene00029678,X,WBGene00058660,X
WBGene00156420,X,WBGene00036594,X,WBGene00051301,X
WBGene00156424,A,WBGene00037716,A,WBGene00055862,A
WBGene00156433,A,WBGene00040836,A,WBGene00060462,A
WBGene00156437,A,WBGene00024991,A,WBGene00072768,A
WBGene00156445,A,WBGene00028029,A,WBGene00063596,A
WBGene00156446,A,WBGene00029321,A,WBGene00064653,A
WBGene00156450,X,WBGene00035023,X,WBGene00051764,X
WBGene00156452,A,WBGene00024211,A,WBGene00069298,A
WBGene00156462,A,WBGene00029164,A,WBGene00070912,A
WBGene00156481,A,WBGene00041075,A,WBGene00064574,A
WBGene00156488,A,WBGene00039339,A,WBGene00063407,A
WBGene00156502,A,WBGene00042814,no.read,WBGene00054759,A
WBGene00156511,A,WBGene00034007,A,WBGene00063086,A
WBGene00156513,A,WBGene00033533,A,WBGene00070539,A
WBGene00156519,A,WBGene00037721,A,WBGene00055844,A
WBGene00156528,A,WBGene00030480,A,WBGene00060873,A
WBGene00156535,A,WBGene00031320,A,WBGene00054935,A
WBGene00156537,A,WBGene00028371,A,WBGene00076924,A
WBGene00156541,A,WBGene00031395,A,WBGene00054947,A
WBGene00156548,A,WBGene00040835,A,WBGene00060463,A
WBGene00156554,X,WBGene00042608,X,WBGene00060148,X
WBGene00156556,A,WBGene00041502,A,WBGene00066193,A
WBGene00156562,X,WBGene00037141,X,WBGene00058381,X
WBGene00156563,X,WBGene00037054,X,WBGene00058344,X
WBGene00156565,A,WBGene00024221,A,WBGene00061467,A
WBGene00156575,A,WBGene00035571,A,WBGene00064898,A
WBGene00156582,X,WBGene00036182,X,WBGene00077339,X
WBGene00156585,A,WBGene00037656,A,WBGene00061660,A
WBGene00156587,X,WBGene00034797,X,WBGene00051974,X
WBGene00156595,X,WBGene00025054,X,WBGene00063198,X
WBGene00156601,A,WBGene00028050,A,WBGene00069598,A
WBGene00156604,A,WBGene00031246,A,WBGene00068963,A
WBGene00156605,A,WBGene00027262,A,WBGene00071521,A
WBGene00156608,X,WBGene00036885,X,WBGene00063123,X
WBGene00156614,A,WBGene00037781,A,WBGene00055801,A
WBGene00156618,A,WBGene00041389,A,WBGene00064481,A
WBGene00156619,A,WBGene00033261,A,WBGene00064125,A
WBGene00156626,X,WBGene00025237,X,WBGene00058150,X
WBGene00156628,A,WBGene00026802,A,WBGene00060602,A
WBGene00156629,A,WBGene00036556,A,WBGene00054788,A
WBGene00156640,X,WBGene00035222,X,WBGene00051569,X
WBGene00156641,A,WBGene00032335,A,WBGene00054189,A
WBGene00156645,A,WBGene00033898,A,WBGene00054264,A
WBGene00156647,A,WBGene00036509,A,WBGene00054726,A
WBGene00156656,X,WBGene00035167,X,WBGene00051610,X
WBGene00156672,A,WBGene00029075,A,WBGene00055214,A
WBGene00156674,X,WBGene00036961,X,WBGene00058256,X
WBGene00156679,X,WBGene00034990,X,WBGene00051793,X
WBGene00156684,X,WBGene00036700,X,WBGene00051208,X
WBGene00156685,A,WBGene00041632,A,WBGene00052375,A
WBGene00156700,X,WBGene00036140,X,WBGene00059771,X
WBGene00156702,A,WBGene00037079,A,WBGene00055434,A
WBGene00156707,A,WBGene00028888,A,WBGene00062112,A
WBGene00156711,A,WBGene00033636,A,WBGene00056170,A
WBGene00156720,A,WBGene00026147,A,WBGene00053241,A
WBGene00156721,A,WBGene00034108,A,WBGene00062992,A
WBGene00156726,A,WBGene00037667,A,WBGene00082240,A
WBGene00156729,A,WBGene00036428,A,WBGene00069390,A
WBGene00156732,A,WBGene00035533,A,WBGene00063503,A
WBGene00156734,A,WBGene00028519,A,WBGene00066321,A
WBGene00156736,X,WBGene00035242,X,WBGene00051555,X
WBGene00156741,A,WBGene00035363,A,WBGene00070321,A
WBGene00156745,X,WBGene00036218,X,WBGene00077284,X
WBGene00156746,A,WBGene00031316,A,WBGene00054860,A
WBGene00156747,A,WBGene00030653,A,WBGene00055641,A
WBGene00156749,A,WBGene00032588,A,WBGene00052885,A
WBGene00156751,X,WBGene00036973,X,WBGene00058268,X
WBGene00156752,A,WBGene00030483,A,WBGene00060870,A
WBGene00156754,X,WBGene00034743,X,WBGene00052032,X
WBGene00156755,X,WBGene00025075,X,WBGene00063177,X
WBGene00156763,X,WBGene00034773,X,WBGene00051996,X
WBGene00156765,A,WBGene00042141,A,WBGene00070784,A
WBGene00156784,X,WBGene00035018,X,WBGene00051768,X
WBGene00156787,X,WBGene00032130,X,WBGene00051450,X
WBGene00156788,A,WBGene00030357,A,WBGene00052640,A
WBGene00156796,A,WBGene00029272,A,WBGene00064622,A
WBGene00156805,X,WBGene00035105,X,WBGene00051675,X
WBGene00156813,A,WBGene00041473,A,WBGene00061901,A
WBGene00156824,X,WBGene00035069,X,WBGene00051714,X
WBGene00156835,A,WBGene00029187,A,WBGene00071362,A
WBGene00156843,A,WBGene00035846,A,WBGene00065387,A
WBGene00156845,A,WBGene00024995,A,WBGene00062746,A
WBGene00156848,X,WBGene00034915,X,WBGene00051848,X
WBGene00156869,A,WBGene00037794,A,WBGene00055790,A
WBGene00156879,A,WBGene00041475,A,WBGene00061903,A
WBGene00156881,A,WBGene00039303,A,WBGene00056300,A
WBGene00156885,A,WBGene00026820,A,WBGene00066603,A
WBGene00156891,A,WBGene00030561,A,WBGene00057985,A
WBGene00156895,A,WBGene00031470,A,WBGene00055007,A
WBGene00156899,A,WBGene00037492,A,WBGene00061711,A
WBGene00156905,X,WBGene00036662,X,WBGene00051248,X
WBGene00156913,X,WBGene00035172,X,WBGene00051604,X
WBGene00156917,A,WBGene00028011,A,WBGene00069601,A
WBGene00156921,A,WBGene00041869,A,WBGene00076694,A
WBGene00156924,A,WBGene00037522,A,WBGene00061738,A
WBGene00156925,X,WBGene00027611,X,WBGene00051505,X
WBGene00156929,A,WBGene00027357,A,WBGene00056987,A
WBGene00156934,X,WBGene00023689,X,WBGene00051046,X
WBGene00156944,A,WBGene00042679,A,WBGene00055733,A
WBGene00156950,A,WBGene00034172,A,WBGene00077989,A
WBGene00156962,A,WBGene00039354,A,WBGene00056062,A
WBGene00156965,A,WBGene00025949,A,WBGene00053476,A
WBGene00156966,A,WBGene00041450,A,WBGene00061874,A
WBGene00156969,X,WBGene00036306,X,WBGene00063223,X
WBGene00156972,short,WBGene00030513,A,WBGene00058026,A
WBGene00156977,A,WBGene00031909,A,WBGene00064606,A
WBGene00156991,A,WBGene00039814,A,WBGene00054480,A
WBGene00156999,A,WBGene00024031,A,WBGene00053848,A
WBGene00157001,A,WBGene00038143,A,WBGene00056089,A
WBGene00157004,A,WBGene00028197,A,WBGene00068688,A
WBGene00157009,X,WBGene00023672,X,WBGene00051062,X
WBGene00157013,A,WBGene00034349,A,WBGene00056379,A
WBGene00157015,A,WBGene00037633,A,WBGene00062979,A
WBGene00157016,A,WBGene00032250,A,WBGene00062212,A
WBGene00157023,A,WBGene00038912,A,WBGene00060832,A
WBGene00157030,X,WBGene00027148,X,WBGene00058450,X
WBGene00157040,X,WBGene00036334,X,WBGene00063250,X
WBGene00157041,A,WBGene00027673,A,WBGene00060956,A
WBGene00157048,A,WBGene00042071,A,WBGene00067459,A
WBGene00157052,A,WBGene00026675,A,WBGene00057183,A
WBGene00157086,ambiguous,WBGene00027019,A,WBGene00054118,A
